subj,subj_type,subj_span,obj,obj_type,obj_span,relation
four years ago we went through the worst financial crisis since the Great Depression,Premise,"(2345, 2429)","Millions of jobs were lost, the auto industry was on the brink of collapse",Premise,"(2431, 2505)",Support
I think it's not just an economic issue,Claim,"(24853, 24892)",I think it's a moral issue,Claim,"(24894, 24920)",Support
the basic structure is sound,Premise,"(39911, 39939)",It's going to have to be tweaked the way it was by Ronald Reagan and Speaker -- Democratic Speaker Tip O'Neill,Claim,"(39786, 39896)",Support
I definitely think there are differences,Claim,"(74031, 74071)",The first role of the federal government is to keep the American people safe,Claim,"(74108, 74184)",Support
because of its people,Premise,"(90235, 90256)",my faith and confidence in the American future is undiminished,Claim,"(90153, 90215)",Support
"Millions of jobs were lost, the auto industry was on the brink of collapse",Premise,"(2431, 2505)",The financial system had frozen up,Premise,"(2507, 2541)",Support
I think it's a moral issue,Claim,"(24894, 24920)","I think it's, frankly, not moral for my generation to keep spending massively more than we take in",Claim,"(24922, 25020)",Support
Social Security is structurally sound,Premise,"(39747, 39784)",It's going to have to be tweaked the way it was by Ronald Reagan and Speaker -- Democratic Speaker Tip O'Neill,Claim,"(39786, 39896)",Support
That's its most basic function,Claim,"(74186, 74216)",The first role of the federal government is to keep the American people safe,Claim,"(74108, 74184)",Support
my faith and confidence in the American future is undiminished,Claim,"(90153, 90215)","four years ago, we were going through a major crisis",Premise,"(90091, 90143)",Attack
"because of the resilience and the determination of the American people, we've begun to fight our way back",Claim,"(2547, 2652)",The financial system had frozen up,Premise,"(2507, 2541)",Attack
knowing those burdens are going to be passed on to the next generation and they're going to be paying the interest and the principal all their lives,Premise,"(25022, 25170)","I think it's, frankly, not moral for my generation to keep spending massively more than we take in",Claim,"(24922, 25020)",Support
"You know, my grandmother -- some of you know -- helped to raise me",Premise,"(40108, 40174)",My grandparents did,Premise,"(40176, 40195)",Support
"as commander-in-chief, that is something that I've worked on and thought about every single day that I've been in the Oval Office",Premise,"(74222, 74351)",That's its most basic function,Claim,"(74186, 74216)",Support
because of the woman I met in North Carolina who decided at 55 to go back to school because she wanted to inspire her daughter and now has a job from that new training that she's gotten,Premise,"(90258, 90443)",my faith and confidence in the American future is undiminished,Claim,"(90153, 90215)",Support
"Over the last 30 months, we've seen 5 million jobs in the private sector created",Premise,"(2654, 2734)","because of the resilience and the determination of the American people, we've begun to fight our way back",Claim,"(2547, 2652)",Support
