source_unique_id,target_unique_id,source_id,target_id,relation_class,year
1960_4d8c3b8c101ec85b533e039d1804f527,1960_eb85d4fa0aedc5ba476f18d923bdcba1,T205,T202,Support,1960
1960_4d8c3b8c101ec85b533e039d1804f527,1960_5be5df7a647c3021f5eb73f8b7fe1f6f,T205,T200,Equivalent,1960
1960_eb85d4fa0aedc5ba476f18d923bdcba1,1960_5be5df7a647c3021f5eb73f8b7fe1f6f,T202,T200,Support,1960
1960_eb85d4fa0aedc5ba476f18d923bdcba1,1960_c2396fc2eb5c99ad10ed434b08038709,T202,T201,Support,1960
1960_a70fdbd9c3b56c7b109254ad7918aad6,1960_0f051d120f420208691fad9b28a3dab2,T1,T198,Support,1960
1960_87a2d7eabf42c3753f845f39d71703c8,1960_0f051d120f420208691fad9b28a3dab2,T2,T198,Equivalent,1960
1960_821a264d01f2602a3265bf69f0c924c3,1960_0f051d120f420208691fad9b28a3dab2,T3,T198,Support,1960
1960_d58cca86a76519eed8b720c9bd957531,1960_72384ddca63a675e86f17c0e8caab195,T208,T207,Support,1960
1960_9e3bbd30e27cc9eef485f0de438b6e5e,1960_d58cca86a76519eed8b720c9bd957531,T209,T208,Support,1960
1960_ebf039014d94b75637d630c108cc8fcb,1960_72384ddca63a675e86f17c0e8caab195,T212,T207,Support,1960
1960_46f4e60f2bb898577a05da6c312d6cee,1960_9c4d9e5e35381eb7c5cc3baf63e063e0,T222,T223,Support,1960
1960_9c4d9e5e35381eb7c5cc3baf63e063e0,1960_646d30fecb24efdf7eb9651003a221e0,T223,T224,Support,1960
1960_646d30fecb24efdf7eb9651003a221e0,1960_8e89bbb70ce44c427381cf78071cb292,T224,T225,Support,1960
1960_8e89bbb70ce44c427381cf78071cb292,1960_85a30d76de203cc55f9bc853f08727af,T225,T226,Support,1960
1960_c37fd59ca5385e3750d4602f7af9d28a,1960_6edaf232c3c560ca1250e61adcbab1a8,T227,T217,Support,1960
1960_b75d001e741b30c6bcb32ddbefd4f96a,1960_290460f178f46032295f408c7b9e7510,T215,T216,Support,1960
1960_290460f178f46032295f408c7b9e7510,1960_6edaf232c3c560ca1250e61adcbab1a8,T216,T217,Support,1960
1960_e2c804f4d0b294539290e6abd55146a6,1960_6edaf232c3c560ca1250e61adcbab1a8,T218,T217,Support,1960
1960_b7e1b1153f05698c777d41a845421f4f,1960_1f553e7494839f969b3d5d95193f0dd5,T219,T220,Support,1960
1960_1f553e7494839f969b3d5d95193f0dd5,1960_d015925e907a4da20c57bea8189dc032,T220,T221,Support,1960
1960_a06416593a2514242abbd21d47b98ef0,1960_789be0ce3de3de07d9763bcba47e8775,T214,T213,Support,1960
1960_d015925e907a4da20c57bea8189dc032,1960_789be0ce3de3de07d9763bcba47e8775,T221,T213,Support,1960
1960_4d8c3b8c101ec85b533e039d1804f527,1960_a70fdbd9c3b56c7b109254ad7918aad6,T205,T1,Support,1960
1960_990dd871462c98fe0017701a8822f192,1960_0f051d120f420208691fad9b28a3dab2,T203,T198,Equivalent,1960
1960_8eb86d7aa6e4b93956b59e7740c2ac6b,1960_72384ddca63a675e86f17c0e8caab195,T211,T207,Support,1960
1960_2470298f4c94c4a5e818fd3dd18a5495,1960_290460f178f46032295f408c7b9e7510,T210,T216,Support,1960
1960_4d8c3b8c101ec85b533e039d1804f527,1960_0c5ed0a079d78e9dae7dbdad63421667,T205,T5,Attack,1960
1960_c2396fc2eb5c99ad10ed434b08038709,1960_990dd871462c98fe0017701a8822f192,T201,T203,Equivalent,1960
1960_a70fdbd9c3b56c7b109254ad7918aad6,1960_4d8c3b8c101ec85b533e039d1804f527,T1,T205,Support,1960
1960_0f051d120f420208691fad9b28a3dab2,1960_990dd871462c98fe0017701a8822f192,T198,T203,Equivalent,1960
1960_1fe24a1a388cf5fe803f3677e37103e1,1960_990dd871462c98fe0017701a8822f192,T199,T203,Equivalent,1960
1960_6edaf232c3c560ca1250e61adcbab1a8,1960_789be0ce3de3de07d9763bcba47e8775,T217,T213,Support,1960
1960_cf54780d2ebb98bbc0351bbeb0575987,1960_837499812c12f5a98e4b36ff02d884e7,T164,T165,Support,1960
1960_837499812c12f5a98e4b36ff02d884e7,1960_828502e4490f245712ea82e54d998cc4,T165,T166,Support,1960
1960_267718cedf559c3a1efbd956bc5b6e0d,1960_aefa633b68969c6bfb0e86f75f763afa,T167,T168,Support,1960
1960_aefa633b68969c6bfb0e86f75f763afa,1960_810ccf80c66b960b7edfbda07b575409,T168,T169,Support,1960
1960_810ccf80c66b960b7edfbda07b575409,1960_53f48105f8dd2bd3e7b3575e3f1d7879,T169,T170,Support,1960
1960_57a33259f1a4dd8330eccbc7ade06057,1960_4cfe981f5b6b5386ea3992a5d71da0fb,T172,T173,Equivalent,1960
1960_f4ffb640fd3c51dd915ae85082fd5174,1960_b27e8bf2c3c9ed19c2284d99d2cfa8af,T2,T3,Support,1960
1960_f4ffb640fd3c51dd915ae85082fd5174,1960_e6f19974be8db10976f0288be8f7f185,T2,T1,Attack,1960
1960_2dd7a805bc2b11ce2786650f79e13915,1960_e62ec14e52819ca9ab248f7836de15b5,T175,T174,Support,1960
1960_857ac47c37e6056f1a28293245cbeb8a,1960_c7b16e87396926cf577967b0f25f00aa,T183,T182,Support,1960
1960_ace7c466293e6fe1c48e4fada5c3f98f,1960_aefa633b68969c6bfb0e86f75f763afa,T181,T168,Attack,1960
1960_c7b16e87396926cf577967b0f25f00aa,1960_4cfe981f5b6b5386ea3992a5d71da0fb,T182,T173,Attack,1960
1960_a742262ece915deb54cb8313fb145bab,1960_e6f19974be8db10976f0288be8f7f185,T178,T1,Attack,1960
1960_e0579086e0df1bf20ac9a60399acecb3,1960_f4ffb640fd3c51dd915ae85082fd5174,T179,T2,Attack,1960
1960_a9e7b2050c04d28e1b9e85c469e120c3,1960_0cd127c865ad57ee81de35acabb3ffa8,T186,T187,Support,1960
1960_a9e7b2050c04d28e1b9e85c469e120c3,1960_828502e4490f245712ea82e54d998cc4,T186,T166,Attack,1960
1960_eecd50ea4eecb671cebcc3c76bddf094,1960_ae359d8834141d34d5bead9c20bd5761,T189,T190,Support,1960
1960_ae359d8834141d34d5bead9c20bd5761,1960_79b940442a5715ad0a95566732ae26b7,T190,T191,Support,1960
1960_79b940442a5715ad0a95566732ae26b7,1960_cd14c2c711c3b7495154d2fc6bb79588,T191,T192,Support,1960
1960_026f10c6b34e94748cc2eb5b5200ff5b,1960_5cd5f1be0bbb606c77ef0211b91ab103,T195,T196,Support,1960
1960_eebf05ccb6efffff20c4d4232cdf777a,1960_e0579086e0df1bf20ac9a60399acecb3,T6,T179,Support,1960
1960_837499812c12f5a98e4b36ff02d884e7,1960_04c11c5696bf7424884a3b225a0de486,T165,T7,Support,1960
1960_828502e4490f245712ea82e54d998cc4,1960_04c11c5696bf7424884a3b225a0de486,T166,T7,Support,1960
1960_04c11c5696bf7424884a3b225a0de486,1960_4cfe981f5b6b5386ea3992a5d71da0fb,T7,T173,Support,1960
1960_a9e7b2050c04d28e1b9e85c469e120c3,1960_9d2efde8cd68b4cb178faebc52fc30c4,T186,T185,Attack,1960
1960_0d865ea0c43f188870076157dad53fec,1960_0cd127c865ad57ee81de35acabb3ffa8,T193,T187,Attack,1960
1960_b99d9d1fa6db0ed8b2817956eb69ae9f,1960_9d2efde8cd68b4cb178faebc52fc30c4,T194,T185,Attack,1960
1960_aa8af3a09ef2d055390ccc516230d302,1960_b99d9d1fa6db0ed8b2817956eb69ae9f,T9,T194,Support,1960
1960_5cd5f1be0bbb606c77ef0211b91ab103,1960_b578a832fea3db724c84622ab7251a3a,T196,T10,Support,1960
1960_5cd5f1be0bbb606c77ef0211b91ab103,1960_828502e4490f245712ea82e54d998cc4,T196,T166,Attack,1960
1960_828502e4490f245712ea82e54d998cc4,1960_e727dd28481dbca16aac2d62c77c1359,T166,T163,Support,1960
1960_57a33259f1a4dd8330eccbc7ade06057,1960_837499812c12f5a98e4b36ff02d884e7,T172,T165,Support,1960
1960_53f48105f8dd2bd3e7b3575e3f1d7879,1960_837499812c12f5a98e4b36ff02d884e7,T170,T165,Support,1960
1960_b2e362f8462fe0ed8a144cba91673a37,1960_e62ec14e52819ca9ab248f7836de15b5,T5,T174,Support,1960
1960_e62ec14e52819ca9ab248f7836de15b5,1960_d4c08b7647563bae10f71fa562af94b7,T174,T11,Support,1960
1960_cd14c2c711c3b7495154d2fc6bb79588,1960_0cd127c865ad57ee81de35acabb3ffa8,T192,T187,Support,1960
1960_b99d9d1fa6db0ed8b2817956eb69ae9f,1960_5cd5f1be0bbb606c77ef0211b91ab103,T194,T196,Support,1960
1960_bcec1480087df1043f63c6ea5b191ffc,1960_163a04da1c8cf99a0a4ac7a93805be57,T102,T103,Support,1960
1960_13a41381c83299b7325811f392100c34,1960_ad64362b811e3b6e477c7d27fc354e53,T100,T101,Support,1960
1960_3e9b163c4dcd630e8276ed0169ee7f25,1960_e95bb5c43ac9f585e8b3477be8b1a058,T106,T105,Support,1960
1960_1263f76759db5483b7cee3ca684a6266,1960_8038d36c0c1121a398089d64722ab1f9,T110,T111,Support,1960
1960_654df163a287b7ef3fc2f4daacd63a98,1960_8038d36c0c1121a398089d64722ab1f9,T112,T111,Support,1960
1960_8f7e9a34ae73d5711b93021fe4ccee78,1960_654df163a287b7ef3fc2f4daacd63a98,T108,T112,Support,1960
1960_81cc5f185b61b72f8532f5f87939cc2d,1960_0c55ea4b02b1a2bc476207970a9df0c5,T118,T115,Support,1960
1960_ea73b35c6ec3185b2fe8a177b689c336,1960_bb1a80fb204f32d6e53dbecf901fe616,T116,T117,Support,1960
1960_936b68f255bad654f4d39c9aa371aff3,1960_1a51c6ecb6c7bf55ff22dfd73675d47b,T119,T114,Support,1960
1960_1a51c6ecb6c7bf55ff22dfd73675d47b,1960_15bcd4b9537b5a483062caf74845c376,T114,T113,Support,1960
1960_bb1a80fb204f32d6e53dbecf901fe616,1960_15bcd4b9537b5a483062caf74845c376,T117,T113,Support,1960
1960_81cc5f185b61b72f8532f5f87939cc2d,1960_15bcd4b9537b5a483062caf74845c376,T118,T113,Support,1960
1960_43fe0cfca9bb7307e2f9619d46ab3261,1960_003190fcc13bdab708c5ad6ec8a4c202,T123,T120,Support,1960
1960_e46e79011e499104edb90f80de03a1a4,1960_43fe0cfca9bb7307e2f9619d46ab3261,T121,T123,Support,1960
1960_1d2d8a6b415464542a93e20953a892df,1960_43fe0cfca9bb7307e2f9619d46ab3261,T122,T123,Support,1960
1960_75169e148214cd8c9ceadcda03a7653f,1960_9f0f618530febe3f200a95688b563314,T125,T126,Support,1960
1960_43fe0cfca9bb7307e2f9619d46ab3261,1960_9f0f618530febe3f200a95688b563314,T123,T126,Support,1960
1960_3589de59def2bdeb24221e84fa8e65c0,1960_6fb821d6e2f40dd6a868b21a55f6772d,T133,T131,Support,1960
1960_b6d735862799e302cce70f5e99456965,1960_6fb821d6e2f40dd6a868b21a55f6772d,T130,T131,Support,1960
1960_4f0a2e1664816ada7b501e476821ddac,1960_b7b54c30499230cc8ae49393ee4de56f,T127,T128,Support,1960
1960_af704a693e6284496bc6f162567cf49d,1960_2fa7ab046d400206c49f40efa525fe11,T124,T135,Equivalent,1960
1960_9f0f618530febe3f200a95688b563314,1960_b7b54c30499230cc8ae49393ee4de56f,T126,T128,Support,1960
1960_43fe0cfca9bb7307e2f9619d46ab3261,1960_140f1b83a61d304f3754cb55152b4390,T123,T134,Support,1960
1960_140f1b83a61d304f3754cb55152b4390,1960_2fa7ab046d400206c49f40efa525fe11,T134,T135,Support,1960
1960_53b6269235a00418828ac816518633cc,1960_15bcd4b9537b5a483062caf74845c376,T3,T113,Attack,1960
1960_e95bb5c43ac9f585e8b3477be8b1a058,1960_d75e41cb6def4f61c7b0c7b1a8f06fb8,T105,T1,Support,1960
1960_81cc5f185b61b72f8532f5f87939cc2d,1960_e95bb5c43ac9f585e8b3477be8b1a058,T118,T105,Equivalent,1960
1960_e46e79011e499104edb90f80de03a1a4,1960_13a41381c83299b7325811f392100c34,T121,T100,Attack,1960
1960_163a04da1c8cf99a0a4ac7a93805be57,1960_29d7a2a482589c0e12c87ea2f189dc64,T103,T7,Support,1960
1960_31dd505106a20a111eefa9f2b7fd0037,1960_d75e41cb6def4f61c7b0c7b1a8f06fb8,T6,T1,Attack,1960
1960_fa6ad1d10b91060d95d2419764d5effc,1960_8c03ff901509911358b9ff2b623ccf28,T132,T8,Support,1960
1960_b7b54c30499230cc8ae49393ee4de56f,1960_3f7a5ecf61e7312399ee99d1ebc1aa48,T128,T4,Support,1960
1960_3f7a5ecf61e7312399ee99d1ebc1aa48,1960_bcec1480087df1043f63c6ea5b191ffc,T4,T102,Attack,1960
1960_faf97efd10a0882d0e026ed844372195,1960_13a41381c83299b7325811f392100c34,T9,T100,Support,1960
1960_6451cbfc845bb1e44fc9dbb9946aaf4a,1960_13a41381c83299b7325811f392100c34,T99,T100,Support,1960
1960_29d7a2a482589c0e12c87ea2f189dc64,1960_d75e41cb6def4f61c7b0c7b1a8f06fb8,T7,T1,Support,1960
1960_f90ce4733cf0b109b7bde11a0d828ec3,1960_e95bb5c43ac9f585e8b3477be8b1a058,T107,T105,Support,1960
1960_8038d36c0c1121a398089d64722ab1f9,1960_1fd5f43a7ec5d97b2c1dc92a2aac9aac,T111,T2,Equivalent,1960
1960_d75e41cb6def4f61c7b0c7b1a8f06fb8,1960_1fd5f43a7ec5d97b2c1dc92a2aac9aac,T1,T2,Support,1960
1960_003190fcc13bdab708c5ad6ec8a4c202,1960_1fd5f43a7ec5d97b2c1dc92a2aac9aac,T120,T2,Attack,1960
1960_43fe0cfca9bb7307e2f9619d46ab3261,1960_af704a693e6284496bc6f162567cf49d,T123,T124,Support,1960
1960_ef0e7660e011c7c90682f7d2f81aa1b7,1960_6fb821d6e2f40dd6a868b21a55f6772d,T129,T131,Support,1960
1960_375f391836f1d52e243bd4839f37bd18,1960_d298e134e168a59b2a1507b7cd7d5aed,T139,T141,Attack,1960
1960_9ae8fc509da4fac59da5af7f256087b7,1960_79fec56a674b24d4c6f9feb01ce740e5,T149,T148,Support,1960
1960_fc7fc1b0ac00df9a0489abd1ef848662,1960_ebbe51082f80078130e7db9d0f6320c2,T146,T147,Support,1960
1960_da086cb8799167fb0a8f8ea7b844d71b,1960_79fec56a674b24d4c6f9feb01ce740e5,T150,T148,Support,1960
1960_79fec56a674b24d4c6f9feb01ce740e5,1960_57a95db0d14af88baac464f7d2831a51,T148,T151,Support,1960
1960_b78cc324f839b61f38401f5f06d5cafb,1960_3db3111bb4e114632c38ee279401a826,T157,T158,Support,1960
1960_7007593d4d110fb34e9293e91a873eba,1960_72f757ec74c0b9e46d0ef4dac0882774,T159,T160,Support,1960
1960_72f757ec74c0b9e46d0ef4dac0882774,1960_8829d059e11ffab6857a2d59c55d423c,T160,T161,Support,1960
